NMEA message,PGHP time stamp
"!BSVDM,1,1,,A,33@nf<0OiO0qjkPP456Rl2S`00mA,0*76","$PGHP,1,2018,11,19,11,3,53,893,219,,2190048,1,*2B"
"!BSVDM,1,1,,A,33@nf<001Q0qjt:P45ARsRQl00uP,0*35","$PGHP,1,2018,11,19,11,3,59,572,219,,2190048,1,*23"
"!BSVDM,1,1,,A,33@nf<001R0qk4tP45LBq2N80000,0*28","$PGHP,1,2018,11,19,11,4,6,124,219,,2190047,1,*16"
"!BSVDM,1,1,,A,33@nf<0OiV0ql<VP46k332i`00oA,0*60","$PGHP,1,2018,11,19,11,4,53,893,219,,2190047,1,*23"
"!BSVDM,1,1,,A,33@nf<0OiW0qlErP46uC0Rol010h,0*4C","$PGHP,1,2018,11,19,11,4,59,790,219,,2190047,1,*25"
"!BSVDM,1,1,,A,33@nf<001V0qlPjP4753:Rn:0000,0*52","$PGHP,1,2018,11,19,11,5,6,685,219,,2190047,1,*1B"
"!BSVDM,1,1,,A,33@nf<0PAV0qmb@P47iSDRq`00lA,0*71","$PGHP,1,2018,11,19,11,5,53,847,219,,2190048,1,*24"
"!BSVDM,1,1,,A,33@nf<001W0qmj8P47m3DRqj012P,0*30","$PGHP,1,2018,11,19,11,5,59,432,219,,2190047,1,*2F"
"!BSVDM,1,1,,A,33@nf<0OiW0qmvfP47tC=2r:0000,0*15","$PGHP,1,2018,11,19,11,6,6,515,219,,2190048,1,*1D"
"!BSVDM,1,1,,A,33@nf<0OiW0qo9DP48M3B2s`00mA,0*34","$PGHP,1,2018,11,19,11,6,53,845,219,,2190048,1,*25"
"!BSVDM,1,1,,A,33@nf<001W0qoBlP48PkG2ul00v@,0*10","$PGHP,1,2018,11,19,11,6,59,524,219,,2190047,1,*2A"
"!BSVDM,1,1,,A,33@nf<0PAV0qoLDP48S3IRp80000,0*75","$PGHP,1,2018,11,19,11,7,6,144,219,,2190048,1,*1C"
"!BSVDM,1,1,,A,33@nf<0PAV0qpWfP48s3G2q`00oi,0*42","$PGHP,1,2018,11,19,11,7,53,818,219,,2190048,1,*2C"
"!BSVDM,1,1,,A,33@nf<001V0qphtP48wCDRol00sh,0*67","$PGHP,1,2018,11,19,11,7,59,761,219,,2190047,1,*28"
"!BSVDM,1,1,,A,33@nf<0OiV0qpr>P494SB2r80000,0*76","$PGHP,1,2018,11,19,11,8,6,142,219,,2190047,1,*1A"
"!BSVDM,2,1,9,B,53@nf<023InDuPTG:20lE8<4p@T60UJ2222222155hj8740Ht8j1C4jC,0*47!BSVDM,2,2,9,B,QklcR1C4jCQhSlP,2*59","$PGHP,1,2018,11,19,11,8,6,625,219,,2190048,1,*13"
"!BSVDM,1,1,,A,13@nf<001U0qr50P49PSDRs`00S;,0*28","$PGHP,1,2018,11,19,11,8,53,831,219,,2190047,1,*27"
"!BSVDM,1,1,,A,13@nf<001T0qsQ`P49vSG2o`0@OS,0*41","$PGHP,1,2018,11,19,11,9,53,844,219,,2190047,1,*24"
"!BSVDM,1,1,,A,13@nf<001T0qtvRP4:HSIRq`0<1E,0*0A","$PGHP,1,2018,11,19,11,10,53,842,219,,2190047,1,*1A"
"!BSVDM,1,1,,A,33@nf<0OiV0qvLrP4:kCG2s`00pi,0*0B","$PGHP,1,2018,11,19,11,11,53,855,219,,2190047,1,*1D"
"!BSVDM,1,1,,A,33@nf<001W0qvVLP4:mSIRsl00tP,0*40","$PGHP,1,2018,11,19,11,11,59,893,219,,2190047,1,*1D"
"!BSVDM,1,1,,A,33@nf<001W0qvibP4:oSL2p:0000,0*47","$PGHP,1,2018,11,19,11,12,6,351,219,,2190048,1,*2E"
"!BSVDM,1,1,,A,13@nf<001W0qwtRP4;93IRo`05Hh,0*5B","$PGHP,1,2018,11,19,11,12,53,853,219,,2190047,1,*18"
"!BSVDM,1,1,,A,13@nf<001W0r1KhP4;m2sRK`00S8,0*1E","$PGHP,1,2018,11,19,11,13,53,851,219,,2190047,1,*1B"
"!BSVDM,2,1,8,A,53@nf<023InDuPTG:20lE8<4p@T60UJ2222222155hj8740Ht8j1C4jC,0*45!BSVDM,2,2,8,A,QklcR1C4jCQhSlP,2*5B","$PGHP,1,2018,11,19,11,14,7,345,219,,2190048,1,*2C"
"!BSVDM,1,1,,A,13@nf<001e0r23lP46RIuWm`00S8,0*3F","$PGHP,1,2018,11,19,11,36,53,560,219,,2190047,1,*13"
"!BSVDM,1,1,,A,13@nf<001l0r0LLP45@bA`1`0HOF,0*14","$PGHP,1,2018,11,19,11,37,53,511,219,,2190048,1,*1B"
"!BSVDM,2,1,6,A,53@nf<023InDuPTG:20lE8<4p@T60UJ2222222155hj8740Ht8j1C4jC,0*4B!BSVDM,2,2,6,A,QklcR1C4jCQhSlP,2*55","$PGHP,1,2018,11,19,11,38,10,452,219,,2190047,1,*1A"
"!BSVDM,1,1,,A,13@nf<001n0qvhtP44ObP`?`0D1?,0*55","$PGHP,1,2018,11,19,11,38,53,508,219,,2190048,1,*1C"
"!BSVDM,1,1,,A,13@nf<001n0qu30P44@JK`=`0@OF,0*74","$PGHP,1,2018,11,19,11,39,53,506,219,,2190048,1,*13"
"!BSVDM,1,1,,A,13@nf<001m0qsF0P43kbN8=`0<1H,0*51","$PGHP,1,2018,11,19,11,40,53,504,219,,2190048,1,*1F"
"!BSVDM,1,1,,A,13@nf<001k0qqc`P43WbK`=V08OF,0*03","$PGHP,1,2018,11,19,11,41,53,502,219,,2190048,1,*18"
"!BSVDM,1,1,,A,13@nf<001j0qp1jP43A:N8=V05J`,0*66","$PGHP,1,2018,11,19,11,42,53,500,219,,2190047,1,*16"
"!BSVDM,1,1,,A,13@nf<001j0qnHBP43=rU`AV00RW,0*08","$PGHP,1,2018,11,19,11,43,53,514,219,,2190047,1,*12"
"!BSVDM,2,1,8,B,53@nf<023InDuPTG:20lE8<4p@T60UJ2222222155hj8740Ht8j1C4jC,0*46!BSVDM,2,2,8,B,QklcR1C4jCQhSlP,2*58","$PGHP,1,2018,11,19,11,44,11,63,219,,2190048,1,*29"
"!BSVDM,1,1,,A,13@nf<001i0qlgNP43I:b`EV0D1:,0*5F","$PGHP,1,2018,11,19,11,44,52,575,219,,2190048,1,*1C"
"!BSVDM,1,1,,A,13@nf<001f0qk7LP43Wr`8EV0@Nk,0*23","$PGHP,1,2018,11,19,11,45,52,572,219,,2190047,1,*15"
"!BSVDM,1,1,,A,33@nf<0Oi`0qkl6P45?2v2cV0101,0*60","$PGHP,1,2018,11,19,12,3,52,574,219,,2190048,1,*2D"
"!BSVDM,1,1,,A,33@nf<001b0qkufP45H30Rej013@,0*14","$PGHP,1,2018,11,19,12,3,59,391,219,,2190048,1,*2B"
"!BSVDM,1,1,,A,33@nf<001b0ql:`P45QC5R`:0000,0*11","$PGHP,1,2018,11,19,12,4,6,567,219,,2190047,1,*16"
"!BSVDM,1,1,,A,13@nf<001e0qmE8P46d35RaV00S2,0*78","$PGHP,1,2018,11,19,12,4,52,571,219,,2190047,1,*20"
"!BSVDM,1,1,,A,13@nf<001f0qnnNP48830ReT0D13,0*63","$PGHP,1,2018,11,19,12,5,52,350,219,,2190047,1,*24"
"!BSVDM,1,1,,A,13@nf<001d0qpI:P49aC32cT0@Nc,0*4A","$PGHP,1,2018,11,19,12,6,52,347,219,,2190047,1,*21"
"!BSVDM,1,1,,A,33@nf<0PAe0qqsfP4;5S5RcT011Q,0*22","$PGHP,1,2018,11,19,12,7,52,344,219,,2190048,1,*2C"
